cidade,Joao Pessoa,Aracaju,Belem,Belo Horizonte,Boa Vista,Brasilia,Campo Grande,Cuiaba,Curitiba,Florianopolis,Fortaleza,Foz do Iguacu,Goiania,Macapa,Maceio,Manaus,Montes Claros,Natal,Palmas,Palmeira dos Indios,Porto Alegre,Porto Velho,Recife,Rio Branco,Rio de Janeiro,Salvador,S. J. dos Campos,Sao Luis,Sao Paulo,Teresina,Vitoria
Joao Pessoa,0,611,2085,2171,5440,2245,3240,3255,3175,3430,688,3715,2415,2340,395,4660,1750,185,1990,365,3885,4180,120,4710,2450,949,2700,1660,2770,1224,2010
Aracaju,611,0,2050,1570,5980,1650,2650,2770,2580,2840,1183,3120,1820,2870,294,5200,1140,788,1430,290,3280,4290,501,4820,1855,356,2110,1578,2180,1142,1410
Belem,2085,2050,0,2820,6050,1935,3025,2940,3190,3450,1610,3810,2015,500,2350,5290,2390,2100,1280,2240,3850,4740,2100,5270,3240,2090,2990,800,2930,950,3100
Belo Horizonte,2171,1570,2820,0,6150,715,1490,1590,1000,1260,2528,1540,890,3320,1854,5340,420,2348,1550,1740,1700,3290,2061,3820,440,1372,520,2738,585,2302,525
Boa Vista,5440,5980,6050,6150,0,4270,4750,3800,5350,5600,5100,5780,4040,6500,6260,785,5800,5550,3450,6150,6100,2200,5560,2740,6300,6320,6250,5300,6280,5150,6500
Brasilia,2245,1650,1935,715,4270,0,1130,1130,1365,1620,2200,1910,209,2435,1930,4100,730,2422,850,1820,2025,2630,2135,3160,1150,1446,1040,2157,1010,1789,1235
Campo Grande,3240,2650,3025,1490,4750,1130,0,705,990,1250,3127,1040,935,3520,2930,3580,1460,3420,1780,2820,1450,2110,3140,2640,1440,2450,1030,2970,1015,2792,1890
Cuiaba,3255,2770,2940,1590,3800,1130,705,0,1675,1930,3127,1745,930,3440,3050,2870,1560,3440,1480,2940,2130,1450,3260,1940,2015,2570,1600,2970,1610,2792,2310
Curitiba,3175,2580,3190,1000,5350,1365,990,1675,0,300,3430,640,1165,3690,3060,4180,1420,3360,2215,2950,710,3220,3060,3750,850,2330,460,3190,400,3190,1315
Florianopolis,3430,2840,3450,1260,5600,1620,1250,1930,300,0,3690,940,1425,3950,3320,4440,1680,3620,2475,3210,475,3480,3320,4010,1110,2590,720,3450,700,3450,1575
Fortaleza,688,1183,1610,2528,5100,2200,3127,3127,3430,3690,0,3970,2270,2110,1075,4320,2010,520,1720,1050,4140,3840,800,4370,2805,1183,3060,1070,3127,634,2365
Foz do Iguacu,3715,3120,3810,1540,5780,1910,1040,1745,640,940,3970,0,1485,4310,3600,4380,1960,3900,2750,3490,980,3420,3600,3950,1480,2870,1095,3730,1050,3730,1950
Goiania,2415,1820,2015,890,4040,209,935,930,1165,1425,2270,1485,0,2515,2100,3840,910,2590,820,1990,1825,2400,2300,2930,1310,1616,1015,2157,925,1789,1410
Macapa,2340,2870,500,3320,6500,2435,3520,3440,3690,3950,2110,4310,2515,0,2850,5790,2890,2600,1780,2740,4350,5240,2600,5770,3740,2590,3490,1300,3430,1450,3600
Maceio,395,294,2350,1854,6260,1930,2930,3050,3060,3320,1075,3600,2100,2850,0,5480,1424,580,1710,155,3765,4570,285,5100,2130,600,2390,1862,2462,1102,1695
Manaus,4660,5200,5290,5340,785,4100,3580,2870,4180,4440,4320,4380,3840,5790,5480,0,5020,4800,2670,5370,4940,900,4770,1450,5130,5150,5080,4520,5110,4370,5330
Montes Claros,1750,1140,2390,420,5800,730,1460,1560,1420,1680,2010,1960,910,2890,1424,5020,0,1928,1130,1310,2120,2970,1640,3500,860,950,940,2318,1005,1882,945
Natal,185,788,2100,2348,5550,2422,3420,3440,3360,3620,520,3900,2590,2600,580,4800,1928,0,2175,540,4070,4365,298,4895,2635,1126,2885,1607,2955,1100,2195
Palmas,1990,1430,1280,1550,3450,850,1780,1480,2215,2475,1720,2750,820,1780,1710,2670,1130,2175,0,1600,2875,2730,1890,3260,2000,1664,1890,1386,1865,1150,2085
Palmeira dos Indios,365,290,2240,1740,6150,1820,2820,2940,2950,3210,1050,3490,1990,2740,155,5370,1310,540,1600,0,3655,4460,255,4990,2020,620,2280,1752,2352,992,1585
Porto Alegre,3885,3280,3850,1700,6100,2025,1450,2130,710,475,4140,980,1825,4350,3765,4940,2120,4070,2875,3655,0,3955,3775,4485,1550,3065,1170,3885,1110,3885,2050
Porto Velho,4180,4290,4740,3290,2200,2630,2110,1450,3220,3480,3840,3420,2400,5240,4570,900,2970,4365,2730,4460,3955,0,4290,510,4100,3750,3650,4050,3600,3450,4280
Recife,120,501,2100,2061,5560,2135,3140,3260,3060,3320,800,3600,2300,2600,285,4770,1640,298,1890,255,3775,4290,0,4820,2330,839,2580,1630,2660,1114,1900
Rio Branco,4710,4820,5270,3820,2740,3160,2640,1940,3750,4010,4370,3950,2930,5770,5100,1450,3500,4895,3260,4990,4485,510,4820,0,4630,4280,4180,4580,4130,3980,4810
Rio de Janeiro,2450,1855,3240,440,6300,1150,1440,2015,850,1110,2805,1480,1310,3740,2130,5130,860,2635,2000,2020,1550,4100,2330,4630,0,1650,340,2990,430,2560,525
Salvador,949,356,2090,1372,6320,1446,2450,2570,2330,2590,1183,2870,1616,2590,600,5150,950,1126,1664,620,3065,3750,839,4280,1650,0,1880,1590,1950,1154,1165
S. J. dos Campos,2700,2110,2990,520,6250,1040,1030,1600,460,720,3060,1095,1015,3490,2390,5080,940,2885,1890,2280,1170,3650,2580,4180,340,1880,0,2820,95,2820,925
Sao Luis,1660,1578,800,2738,5300,2157,2970,2970,3190,3450,1070,3730,2157,1300,1862,4520,2318,1607,1890,1752,3885,4050,1630,4580,2990,1590,2820,0,2970,446,3055
Sao Paulo,2770,2180,2930,585,6280,1010,1015,1610,400,700,3127,1050,925,3430,2462,5110,1005,2955,1865,2352,1110,3600,2660,4130,430,1950,95,2970,0,2890,885
Teresina,1224,1142,950,2302,5150,1789,2792,2792,3190,3450,634,3730,1789,1450,1102,4370,1882,1100,1150,992,3885,3450,1114,3980,2560,1154,2820,446,2890,0,2620
Vitoria,2010,1410,3100,525,6500,1235,1890,2310,1315,1575,2365,1950,1410,3600,1695,5330,945,2195,2085,1585,2050,4280,1900,4810,525,1165,925,3055,885,2620,0